degree,item,coef
four_degree,t37,0.787
four_degree,t38,0.85
four_degree,t39,0.823
four_degree,t40,0.811
four_degree,t41,0.838
four_degree,t42,0.836
four_degree,t43,0.82
four_degree,t44,0.779
four_degree,t45,0.767
fifth_degree,t37,0.787
fifth_degree,t38,0.85
fifth_degree,t39,0.823
fifth_degree,t40,0.811
fifth_degree,t41,0.838
fifth_degree,t42,0.836
fifth_degree,t43,0.82
fifth_degree,t44,0.779
fifth_degree,t45,0.767
seven_degree,t39,0.663
seven_degree,t40,0.719
seven_degree,t41,0.763
seven_degree,t42,0.756
seven_degree,t43,0.761
seven_degree,t44,0.78
seven_degree,t45,0.81
seven_degree,t46,0.806
seven_degree,t47,0.792
seven_degree,t48,0.823
seven_degree,t49,0.843
seven_degree,t50,0.820
seven_degree,t51,0.822
seven_degree,t52,0.804
seven_degree,t53,0.770
